"rgn_id","sciname","popn_trend"
1,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera physalus","Unknown"
1,"Lamna nasus","Decreasing"
1,"Prionace glauca","Unknown"
2,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera physalus","Unknown"
2,"Lamna nasus","Decreasing"
2,"Prionace glauca","Unknown"
3,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera physalus","Unknown"
3,"Lamna nasus","Decreasing"
3,"Prionace glauca","Unknown"
4,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera physalus","Unknown"
4,"Lamna nasus","Decreasing"
4,"Prionace glauca","Unknown"
5,"Balaenoptera acutorostrata","Stable"
5,"Balaenoptera physalus","Unknown"
5,"Lamna nasus","Decreasing"
5,"Prionace glauca","Unknown"
6," Carcharhinus perezi","1"
6," Monachus monachus ","1"
6,"Alopias vulpinus","2"
6,"Balaena mysticetus","3"
6,"Balaenoptera acutorostrata","4"
6,"Balaenoptera bonaerensis ","1"
6,"Balaenoptera borealis","5"
6,"Balaenoptera edeni","5"
6,"Balaenoptera musculus","3"
6,"Balaenoptera physalus","5"
6,"Berardius arnuxii ","1"
6,"Caperea marginata","5"
6,"Carcharhinus amblyrhynchos","5"
6,"Carcharhinus melanopterus","2"
6,"Carcharodon carcharias","5"
6,"Caretta caretta","1"
6,"Cephalorhynchus hectori","2"
6,"Cephalorhynchus hectori maui","1"
6,"Cetorhinus maximus","2"
6,"Cheilinus undulatus","2"
6,"Chelonia mydas","2"
6,"Delphinus delphis","5"
6,"Dermochelys coriacea","2"
6,"Engraulis ringens","5"
6,"Eretmochelys imbricata","2"
6,"Eschrichtius robustus","4"
6,"Eubalaena australis ","1"
6,"Eubalaena glacialis","5"
6,"Feresa attenuata","5"
6,"Galeocerdo cuvier","5"
6,"Globicephala macrorhynchus","5"
6,"Globicephala melas","5"
6,"Glyphis gangeticus","2"
6,"Grampus griseus","5"
6,"Hyperoodon planifrons","5"
6,"Indopacetus pacificus","5"
6,"Isurus oxyrinchus","2"
6,"Isurus paucus","2"
6,"Kogia breviceps","5"
6,"Kogia simus","1"
6,"Lagenodelphis hosei","5"
6,"Lagenorhynchus cruciger","5"
6,"Lagenorhynchus obscurus","5"
6,"Lamna nasus","2"
6,"Lepidochelys kempii","1"
6,"Lepidochelys olivacea","2"
6,"Lissodelphis peronii","5"
6,"Lutrogale perspicillata","2"
6,"Megachasma pelagios","5"
6,"Megaptera novaeangliae","3"
